Powiat,Siedziba władz powiatu,Samochodowe tablice rejestracyjne,Województwo,Powierzchnia [km2],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km2],Przyrost rzeczywisty,id
powiat otwocki,Otwock,WOT. AOT[c],mazowieckie,615.92,124 460,202.07,1.76,path330
powiat pabianicki,Pabianice,EPA,łódzkie,492.18,119 225,242.24,-0.29,path628
powiat pajęczański,Pajęczno,EPJ,łódzkie,803.82,51 071,63.54,-5.57,path708
powiat parczewski,Parczew,LPA,lubelskie,952.20,34 590,36.33,-6.29,path308
powiat piaseczyński,Piaseczno,WPI. WPA[b]. WPW[b]. WPX[c],mazowieckie,621.00,189 516,305.18,16.39,path584
Piekary Śląskie,miasto na prawach powiatu,SPI. IPI[c],śląskie,39.98,54 860,1 372.19,-4.14,path220
powiat pilski,Piła,PP. MP[c],wielkopolskie,1 268.21,135 928,107.18,-2.44,path510
powiat pińczowski,Pińczów,TPI,świętokrzyskie,612.85,38 691,63.13,-10.46,path678
powiat piotrkowski,Piotrków Trybunalski,EPI,łódzkie,1 428.74,91 360,63.94,0.90,path698
Piotrków Trybunalski,miasto na prawach powiatu,EP,łódzkie,67.24,72 785,1 082.47,-7.97,path700
powiat piski,Pisz,NPI,warmińsko-mazurskie,1 774.58,55 952,31.53,-6.68,path398
powiat pleszewski,Pleszew,PPL,wielkopolskie,713.07,62 962,88.30,-2.52,path756
Płock,miasto na prawach powiatu,WP. AP[c],mazowieckie,88.04,118 989,1 351.53,-6.01,path474
powiat płocki,Płock,WPL. APL[c],mazowieckie,1 796.63,110 927,61.74,-0.54,path472
powiat płoński,Płońsk,WPN. APN[c],mazowieckie,1 379.79,86 868,62.96,-3.61,path576
powiat poddębicki,Poddębice,EPD,łódzkie,881.21,41 037,46.57,-3.52,path622
powiat policki,Police,ZPL,zachodniopomorskie,665.33,81 229,122.09,15.78,path98
powiat polkowicki,Polkowice,DPL. VPL[c],dolnośląskie,779.46,63 082,80.93,2.13,path168
Poznań,miasto na prawach powiatu,PO. PY. MO[c]. MY[c]. PX[d]. MX[d],wielkopolskie,261.91,533 830,2 038.22,-3.68,path516
powiat poznański,Poznań,PZ. POZ[h]. MZ[c]. MOZ[c],wielkopolskie,1 899.88,403 417,212.34,22.50,path512
powiat proszowicki,Proszowice,KPR. JPR[c],małopolskie,414.87,43 160,104.03,-4.7,path44
powiat prudnicki,Prudnik,OPR,opolskie,571.55,55 091,96.39,-4.23,path20
powiat pruszkowski,Pruszków,WPR. WPP[b]. WPS[b]. APR[c]. APP[c]. APS[c],mazowieckie,246.30,166 436,675.75,8.46,path594
powiat przasnyski,Przasnysz,WPZ. APZ[c],mazowieckie,1 218.62,52 355,42.96,-6.09,path348
powiat przemyski,Przemyśl,RPR. YPR[c],podkarpackie,1 211.22,73 968,61.07,-3.58,path260
Przemyśl,miasto na prawach powiatu,RP. YP[c],podkarpackie,46.17,60 442,1 309.12,-9.13,path262
powiat przeworski,Przeworsk,RPZ. YPZ[c],podkarpackie,698.02,78 227,112.07,-1.62,path272
powiat przysuski,Przysucha,WPY. APY[c],mazowieckie,801.19,41 360,51.62,-8.65,path612
powiat pszczyński,Pszczyna,SPS. IPS[c],śląskie,471.16,111 682,237.04,3.22,path202
powiat pucki,Puck,GPU. XPU[c],pomorskie,581.18,87 183,150.01,11.37,path430
powiat puławski,Puławy,LPU,lubelskie,934.09,112 835,120.80,-5.34,path310
powiat pułtuski,Pułtusk,WPU. APU[c],mazowieckie,827.42,51 817,62.62,-0.87,path574
powiat pyrzycki,Pyrzyce,ZPY,zachodniopomorskie,726.00,39 251,54.06,-5.85,path118
powiat raciborski,Racibórz,SRC. IRC[c],śląskie,543.76,107 926,198.48,-4.26,path194
Radom,miasto na prawach powiatu,WR. AR[c],mazowieckie,111.80,210 532,1 883.11,-8.00,path604
powiat radomski,Radom,WRA. ARA[c],mazowieckie,1 529.78,152 237,99.52,0.31,path602
powiat radomszczański,Radomsko,ERA,łódzkie,1 442.57,112 255,77.82,-6.29,path712
powiat radziejowski,Radziejów,CRA,kujawsko-pomorskie,607.20,40 211,66.22,-8.26,path570
powiat radzyński,Radzyń Podlaski,LRA,lubelskie,965.06,58 604,60.73,-7.67,path312
powiat rawicki,Rawicz,PRA. MRA[c],wielkopolskie,553.52,60 233,108.82,-1.84,path514
powiat rawski,Rawa Mazowiecka,ERW,łódzkie,646.20,48 504,75.06,-2.88,path616
powiat ropczycko-sędziszowski,Ropczyce,RRS. YRS[c],podkarpackie,548.31,74 582,136.02,2.23,path662
